Time,Temperature,Forecast,Trimmed,Error
2026-02-26 13:00:00,74.7,0,0,0
2026-02-26 14:00:00,77.8,0,0,0
2026-02-26 15:00:00,78.6,0,0,0
2026-02-26 16:00:00,81.4,0,0,0
2026-02-26 17:00:00,82.5,0,0,0
2026-02-26 18:00:00,83.3,0,0,0
2026-02-26 19:00:00,82.9,0,0,0
2026-02-26 20:00:00,83.8,0,0,0
2026-02-26 21:00:00,84.0,0,0,0
2026-02-26 22:00:00,83.6,0,0,0
2026-02-26 23:00:00,83.1,0,0,0
2026-02-27 00:00:00,81.8,0,0,0
2026-02-27 01:00:00,78.5,0,0,0
2026-02-27 02:00:00,77.0,0,0,0
2026-02-27 03:00:00,75.5,0,0,0
2026-02-27 04:00:00,74.9,0,0,0
2026-02-27 05:00:00,73.6,0,0,0
2026-02-27 06:00:00,73.3,0,0,0
2026-02-27 07:00:00,71.5,0,0,0
2026-02-27 08:00:00,71.4,0,0,0
2026-02-27 09:00:00,72.0,0,0,0
2026-02-27 10:00:00,71.9,0,0,0
2026-02-27 11:00:00,72.9,0,0,0
2026-02-27 12:00:00,74.1,0,0,0
2026-02-27 13:00:00,74.6,0,0,0
2026-02-27 14:00:00,77.9,0,0,0
2026-02-27 15:00:00,78.6,0,0,0
2026-02-27 16:00:00,80.7,0,0,0
2026-02-27 17:00:00,82.0,0,0,0
2026-02-27 18:00:00,82.6,0,0,0
2026-02-27 19:00:00,82.7,0,0,0
2026-02-27 20:00:00,82.2,0,0,0
2026-02-27 21:00:00,82.6,0,0,0
2026-02-27 22:00:00,83.5,0,0,0
2026-02-27 23:00:00,80.8,0,0,0
2026-02-28 00:00:00,79.9,0,0,0
2026-02-28 01:00:00,77.5,0,0,0
2026-02-28 02:00:00,76.7,0,0,0
2026-02-28 03:00:00,74.6,0,0,0
2026-02-28 04:00:00,73.5,0,0,0
2026-02-28 05:00:00,71.9,0,0,0
2026-02-28 06:00:00,72.0,0,0,0
2026-02-28 07:00:00,70.4,0,0,0
2026-02-28 08:00:00,70.6,0,0,0
2026-02-28 09:00:00,71.0,0,0,0
2026-02-28 10:00:00,72.1,0,0,0
2026-02-28 11:00:00,72.3,0,0,0
2026-02-28 12:00:00,73.4,0,0,0
2026-02-28 13:00:00,74.8,0,0,0
2026-02-28 14:00:00,76.3,0,0,0
2026-02-28 15:00:00,77.7,0,0,0
2026-02-28 16:00:00,79.4,0,0,0
2026-02-28 17:00:00,80.6,0,0,0
2026-02-28 18:00:00,81.1,0,0,0
2026-02-28 19:00:00,82.6,0,0,0
2026-02-28 20:00:00,82.0,0,0,0
2026-02-28 21:00:00,82.6,0,0,0
2026-02-28 22:00:00,80.3,0,0,0
2026-02-28 23:00:00,80.0,0,0,0
2026-03-01 00:00:00,79.6,0,0,0
2026-03-01 01:00:00,77.0,0,0,0
2026-03-01 02:00:00,76.0,0,0,0
2026-03-01 03:00:00,75.0,0,0,0
2026-03-01 04:00:00,72.6,0,0,0
2026-03-01 05:00:00,71.7,0,0,0
2026-03-01 06:00:00,70.3,0,0,0
2026-03-01 07:00:00,69.5,0,0,0
2026-03-01 08:00:00,68.7,0,0,0
2026-03-01 09:00:00,70.5,0,0,0
2026-03-01 10:00:00,71.3,0,0,0
2026-03-01 11:00:00,71.6,0,0,0
2026-03-01 12:00:00,72.4,0,0,0
2026-03-01 13:00:00,73.8,0,0,0
2026-03-01 14:00:00,75.3,0,0,0
2026-03-01 15:00:00,75.9,0,0,0
2026-03-01 16:00:00,78.7,0,0,0
2026-03-01 17:00:00,79.9,0,0,0
2026-03-01 18:00:00,80.2,0,0,0
2026-03-01 19:00:00,81.0,0,0,0
2026-03-01 20:00:00,81.5,0,0,0
2026-03-01 21:00:00,81.6,0,0,0
2026-03-01 22:00:00,80.6,0,0,0
2026-03-01 23:00:00,79.2,0,0,0
2026-03-02 00:00:00,78.6,0,0,0
2026-03-02 01:00:00,75.5,0,0,0
2026-03-02 02:00:00,75.8,0,0,0
2026-03-02 03:00:00,74.0,0,0,0
2026-03-02 04:00:00,71.9,0,0,0
2026-03-02 05:00:00,70.7,0,0,0
2026-03-02 06:00:00,70.6,0,0,0
2026-03-02 07:00:00,69.7,0,0,0
2026-03-02 08:00:00,90.9,0,1,0
2026-03-02 09:00:00,69.7,0,0,0
2026-03-02 10:00:00,69.8,0,0,0
2026-03-02 11:00:00,71.1,0,0,0
2026-03-02 12:00:00,72.3,0,0,0
2026-03-02 13:00:00,73.4,0,0,0
2026-03-02 14:00:00,75.2,0,0,0
2026-03-02 15:00:00,76.2,0,0,0
2026-03-02 16:00:00,77.8,0,0,0
2026-03-02 17:00:00,78.2,0,0,0
2026-03-02 18:00:00,78.4,0,0,0
2026-03-02 19:00:00,81.1,0,0,0
2026-03-02 20:00:00,81.3,0,0,0
2026-03-02 21:00:00,80.3,0,0,0
2026-03-02 22:00:00,79.6,0,0,0
2026-03-02 23:00:00,78.4,0,0,0
2026-03-03 00:00:00,77.0,0,0,0
2026-03-03 01:00:00,77.5,0,0,0
2026-03-03 02:00:00,73.7,0,0,0
2026-03-03 03:00:00,72.5,0,0,0
2026-03-03 04:00:00,71.3,0,0,0
2026-03-03 05:00:00,69.9,0,0,0
2026-03-03 06:00:00,68.5,0,0,0
2026-03-03 07:00:00,68.1,0,0,0
2026-03-03 08:00:00,68.5,0,0,0
2026-03-03 09:00:00,68.2,0,0,0
2026-03-03 10:00:00,69.3,0,0,0
2026-03-03 11:00:00,69.9,0,0,0
2026-03-03 12:00:00,71.5,0,0,0
2026-03-03 13:00:00,73.4,0,0,0
2026-03-03 14:00:00,74.0,0,0,0
2026-03-03 15:00:00,75.3,0,0,0
2026-03-03 16:00:00,78.1,0,0,0
2026-03-03 17:00:00,79.2,0,0,0
2026-03-03 18:00:00,79.3,0,0,0
2026-03-03 19:00:00,80.7,0,0,0
2026-03-03 20:00:00,79.6,0,0,0
2026-03-03 21:00:00,79.4,0,0,0
2026-03-03 22:00:00,78.6,0,0,0
2026-03-03 23:00:00,77.9,0,0,0
2026-03-04 00:00:00,77.4,0,0,0
2026-03-04 01:00:00,75.4,0,0,0
2026-03-04 02:00:00,73.9,0,0,0
2026-03-04 03:00:00,72.0,0,0,0
2026-03-04 04:00:00,70.3,0,0,0
2026-03-04 05:00:00,70.3,0,0,0
2026-03-04 06:00:00,68.7,0,0,0
2026-03-04 07:00:00,68.7,0,0,0
2026-03-04 08:00:00,68.0,0,0,0
2026-03-04 09:00:00,68.0,0,0,0
2026-03-04 10:00:00,66.7,0,0,0
2026-03-04 11:00:00,70.3,0,0,0
2026-03-04 12:00:00,71.2,0,0,0
2026-03-04 13:00:00,72.4,0,0,0
2026-03-04 14:00:00,74.1,0,0,0
2026-03-04 15:00:00,76.0,0,0,0
2026-03-04 16:00:00,78.1,0,0,0
2026-03-04 17:00:00,77.7,0,0,0
2026-03-04 18:00:00,79.6,0,0,0
2026-03-04 19:00:00,79.4,0,0,0
2026-03-04 20:00:00,80.6,0,0,0
2026-03-04 21:00:00,80.8,0,0,0
2026-03-04 22:00:00,79.0,0,0,0
2026-03-04 23:00:00,77.5,0,0,0
2026-03-05 00:00:00,77.9,0,0,0
2026-03-05 01:00:00,75.5,0,0,0
2026-03-05 02:00:00,75.2,0,0,0
2026-03-05 03:00:00,72.6,0,0,0
2026-03-05 03:00:00,72.36,1,0,-0.24
2026-03-05 04:00:00,70.8,0,0,0
2026-03-05 04:00:00,71.3,1,0,0.5
2026-03-05 05:00:00,70.7,0,0,0
2026-03-05 05:00:00,71.06,1,0,0.36
2026-03-05 06:00:00,69.2,0,0,0
2026-03-05 06:00:00,69.54,1,0,0.34
2026-03-05 07:00:00,68.2,0,0,0
2026-03-05 07:00:00,68.56,1,0,0.36
2026-03-05 08:00:00,68.4,0,0,0
2026-03-05 08:00:00,68.99,1,0,0.59
2026-03-05 09:00:00,68.5,0,0,0
2026-03-05 09:00:00,69.6,1,0,1.1
2026-03-05 10:00:00,68.5,0,0,0
2026-03-05 10:00:00,68.48,1,0,-0.02
2026-03-05 11:00:00,69.8,0,0,0
2026-03-05 11:00:00,69.68,1,0,-0.12
2026-03-05 12:00:00,70.4,0,0,0
2026-03-05 12:00:00,70.88,1,0,0.48
2026-03-05 13:00:00,72.1,0,0,0
2026-03-05 13:00:00,71.53,1,0,-0.57
2026-03-05 14:00:00,74.5,0,0,0
2026-03-05 14:00:00,74.76,1,0,0.26
2026-03-05 15:00:00,76.6,0,0,0
2026-03-05 15:00:00,75.86,1,0,-0.74
2026-03-05 16:00:00,77.2,0,0,0
2026-03-05 16:00:00,76.47,1,0,-0.73
2026-03-05 17:00:00,79.2,0,0,0
2026-03-05 17:00:00,79.48,1,0,0.28
2026-03-05 18:00:00,80.5,0,0,0
2026-03-05 18:00:00,81.4,1,0,0.9
2026-03-05 19:00:00,79.5,0,0,0
2026-03-05 19:00:00,80.58,1,0,1.08
2026-03-05 20:00:00,80.9,0,0,0
2026-03-05 20:00:00,82.58,1,0,1.68
2026-03-05 21:00:00,80.5,0,0,0
2026-03-05 21:00:00,81.66,1,0,1.16
2026-03-05 22:00:00,79.6,0,0,0
2026-03-05 22:00:00,80.6,1,0,1.0
2026-03-05 23:00:00,78.7,0,0,0
2026-03-05 23:00:00,78.81,1,0,0.11
2026-03-06 00:00:00,77.5,0,0,0
2026-03-06 00:00:00,77.83,1,0,0.33
2026-03-06 01:00:00,75.2,0,0,0
2026-03-06 01:00:00,75.22,1,0,0.02
2026-03-06 02:00:00,74.4,0,0,0
2026-03-06 02:00:00,74.92,1,0,0.52
2026-03-06 03:00:00,73.9,0,0,0
2026-03-06 03:00:00,73.87,1,0,-0.03
2026-03-06 04:00:00,70.9,0,0,0
2026-03-06 04:00:00,70.85,1,0,-0.05
2026-03-06 05:00:00,70.1,0,0,0
2026-03-06 05:00:00,69.79,1,0,-0.31
2026-03-06 06:00:00,69.6,0,0,0
2026-03-06 06:00:00,69.24,1,0,-0.36
2026-03-06 07:00:00,68.8,0,0,0
2026-03-06 07:00:00,68.54,1,0,-0.26
2026-03-06 08:00:00,69.6,0,0,0
2026-03-06 08:00:00,69.4,1,0,-0.2
2026-03-06 09:00:00,68.0,0,0,0
2026-03-06 09:00:00,68.3,1,0,0.3
2026-03-06 10:00:00,68.4,0,0,0
2026-03-06 10:00:00,68.39,1,0,-0.01
2026-03-06 11:00:00,70.2,0,0,0
2026-03-06 11:00:00,70.07,1,0,-0.13
2026-03-06 12:00:00,71.5,0,0,0
2026-03-06 12:00:00,70.76,1,0,-0.74
2026-03-06 13:00:00,73.1,0,0,0
2026-03-06 13:00:00,72.4,1,0,-0.7
2026-03-06 14:00:00,75.2,0,0,0
2026-03-06 14:00:00,74.38,1,0,-0.82
2026-03-06 15:00:00,76.8,0,0,0
2026-03-06 15:00:00,76.76,1,0,-0.04
2026-03-06 16:00:00,78.7,0,0,0
2026-03-06 16:00:00,78.92,1,0,0.22
2026-03-06 17:00:00,78.5,0,0,0
2026-03-06 17:00:00,78.49,1,0,-0.01
2026-03-06 18:00:00,81.0,0,0,0
2026-03-06 18:00:00,81.3,1,0,0.3
2026-03-06 19:00:00,79.8,0,0,0
2026-03-06 19:00:00,80.38,1,0,0.58
2026-03-06 20:00:00,81.1,0,0,0
2026-03-06 20:00:00,80.98,1,0,-0.12
2026-03-06 21:00:00,81.3,0,0,0
2026-03-06 21:00:00,81.11,1,0,-0.19
2026-03-06 22:00:00,81.1,0,0,0
2026-03-06 22:00:00,81.29,1,0,0.19
2026-03-06 23:00:00,80.0,0,0,0
2026-03-06 23:00:00,79.8,1,0,-0.2
2026-03-07 00:00:00,78.6,0,0,0
2026-03-07 00:00:00,78.68,1,0,0.08
2026-03-07 01:00:00,76.3,0,0,0
2026-03-07 01:00:00,76.3,1,0,0.0
2026-03-07 02:00:00,74.9,0,0,0
2026-03-07 02:00:00,75.1,1,0,0.2
2026-03-07 03:00:00,73.4,0,0,0
2026-03-07 03:00:00,72.7,1,0,-0.7
2026-03-07 04:00:00,73.4,0,0,0
2026-03-07 04:00:00,73.37,1,0,-0.03
2026-03-07 05:00:00,70.5,0,0,0
2026-03-07 05:00:00,70.1,1,0,-0.4
2026-03-07 06:00:00,71.2,0,0,0
2026-03-07 06:00:00,70.14,1,0,-1.06
2026-03-07 07:00:00,69.4,0,0,0
2026-03-07 07:00:00,68.41,1,0,-0.99
2026-03-07 08:00:00,69.5,0,0,0
2026-03-07 08:00:00,68.58,1,0,-0.92
2026-03-07 09:00:00,69.6,0,0,0
2026-03-07 09:00:00,68.95,1,0,-0.65
2026-03-07 10:00:00,70.2,0,0,0
2026-03-07 10:00:00,69.74,1,0,-0.46
2026-03-07 11:00:00,70.7,0,0,0
2026-03-07 11:00:00,70.28,1,0,-0.42
2026-03-07 12:00:00,73.5,0,0,0
2026-03-07 12:00:00,73.62,1,0,0.12
2026-03-07 13:00:00,73.6,0,0,0
2026-03-07 13:00:00,73.17,1,0,-0.43
2026-03-07 14:00:00,76.3,0,0,0
2026-03-07 14:00:00,75.72,1,0,-0.58
2026-03-07 15:00:00,76.4,0,0,0
2026-03-07 15:00:00,75.57,1,0,-0.83
2026-03-07 16:00:00,78.6,0,0,0
2026-03-07 16:00:00,78.11,1,0,-0.49
2026-03-07 17:00:00,81.0,0,0,0
2026-03-07 17:00:00,80.76,1,0,-0.24
2026-03-07 18:00:00,81.9,0,0,0
2026-03-07 18:00:00,82.17,1,0,0.27
2026-03-07 19:00:00,82.4,0,0,0
2026-03-07 19:00:00,83.17,1,0,0.77
2026-03-07 20:00:00,82.1,0,0,0
2026-03-07 20:00:00,82.23,1,0,0.13
2026-03-07 21:00:00,81.4,0,0,0
2026-03-07 21:00:00,81.57,1,0,0.17
2026-03-07 22:00:00,81.4,0,0,0
2026-03-07 22:00:00,81.67,1,0,0.27
2026-03-07 23:00:00,79.6,0,0,0
2026-03-07 23:00:00,79.22,1,0,-0.38
